aggregation,group,method,budget,n,quality_mean,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,decode_ms_mean,decode_ms_p50,decode_ms_p95,e2e_ms_mean,e2e_ms_p50,e2e_ms_p95,ssd_read_mb_mean,ssd_read_mb_total,selector_ms_mean,scatter_ms_mean,prefill_ms_mean,selected_kv_ratio_mean,logical_visual_token_ratio_mean,ssd_payload_ratio_vs_full_visual_kv_mean,history_tokens_mean,active_visual_tokens_mean,total_context_tokens_mean,full_visual_kv_gb_mean,selected_visual_kv_gb_mean,gpu_memory_allocated_gb_mean,gpu_peak_memory_allocated_gb_mean,process_rss_gb_mean,dialog_id
dialog,visdial:549046,Static+Diverse 50%,0.5,10,0.0,568.2901890017092,563.9549254847225,621.3995917671127,38.29254391021095,19.614341494161636,121.09227742184869,606.5827329119202,583.3896185213234,732.5414032588012,616.890368,6168.90368,21.724406082648784,90.3841252962593,63.43275000108406,0.4803418803418803,0.4803418803418803,0.5028311965811965,121.8,2340.0,2497.3,1.22683392,0.616890368,5.286104576,6.7445720576,2.0692013056,visdial:549046
dialog,visdial:558901,FullLoad,1.0,10,0.5,675.0875150086358,685.742919537006,733.8075371604646,24.51689859153703,21.6572294884827,33.591651733149774,699.6044136001728,705.4668990313075,766.2707885610871,1226.83392,12268.3392,0.0,,,1.0,1.0,1.0,85.2,2340.0,2457.5,1.22683392,1.22683392,5.28706304,6.6970156543999995,2.096611328,visdial:558901
dialog,visdial:558901,ReComp,,10,0.5,550.1372543047182,551.9751945103053,568.2233426894527,19.398803293006495,19.27538649761118,20.15283018699847,569.5360575977247,571.8171574990265,587.8266278625233,0.0,0.0,0.0,0.0,550.1370748039335,,,,85.2,2340.0,2457.5,1.22683392,0.0,5.16315904,8.5052488192,2.102935552,visdial:558901
dialog,visdial:558901,SparseVLM 25%,0.25,10,0.5,745.1459409901872,771.1872529762331,794.1867260407889,34.67685480718501,27.761896519223228,53.945262302295305,779.8227957973722,801.3333099952433,833.8074202998541,999.0045696,9990.045696,,,,0.24615384615384617,0.24615384615384617,0.7674198717948718,85.2,2340.0,2457.5,1.22683392,0.9414967296,5.286104576,6.6972934656000005,2.1066907648,visdial:558901
dialog,visdial:558901,Static+Diverse 25%,0.25,10,0.5,347.9201634938363,357.8790279862005,384.86392378981685,19.541974808089435,19.4485055108089,19.97150335519109,367.46213830192573,377.4133685219567,404.55472613975866,313.065472,3130.65472,24.420914088841528,53.015488310484216,50.885550590464845,0.23461538461538461,0.23461538461538461,0.2551816239316239,85.2,2340.0,2457.5,1.22683392,0.313065472,5.28706304,6.6974334464,2.1002149888,visdial:558901
dialog,visdial:558901,Static+Diverse 50%,0.5,10,0.5,548.8506372959819,550.8525770273991,571.8374510179274,19.85846050665714,19.736838003154844,20.638835077988915,568.709097802639,570.5894150305539,591.7994341027224,610.926592,6109.26592,21.637297194683924,90.03644301556051,55.116224294761196,0.4803418803418803,0.4803418803418803,0.49797008547008553,85.2,2340.0,2457.5,1.22683392,0.610926592,5.286104576,6.6965098496,2.1062115327999997,visdial:558901
dialog,visdial:56454,FullLoad,1.0,10,0.2,608.8789982022718,597.3861700040288,700.2639006910613,23.271424398990348,20.39565148879774,33.12723032722714,632.1504226012621,625.5382825329434,723.070197328343,1132.46208,11324.6208,0.0,,,1.0,1.0,1.0,105.9,2160.0,2298.9,1.13246208,1.13246208,5.191732736,6.5262057983999995,2.0460376064,visdial:56454
dialog,visdial:56454,ReComp,,10,0.2,507.5945482996758,509.1948095068801,535.2937738352921,19.434714101953432,19.347688008565456,20.22008622298017,527.0292624016292,528.7770570139401,554.806127640768,0.0,0.0,0.0,0.0,507.5943536066916,,,,105.9,2160.0,2298.9,1.13246208,0.0,5.078224384,8.0873199104,2.0575215615999998,visdial:56454
dialog,visdial:56454,SparseVLM 25%,0.25,10,0.2,687.5716536014806,697.5039135140833,709.8541458806721,32.337007811293006,27.928119496209547,51.536548745934844,719.9086614127737,723.9066440379247,751.9224007264711,857.5516672,8575.516672,,,,0.2444444444444444,0.2444444444444444,0.7103703703703703,105.9,2160.0,2298.9,1.13246208,0.8044675072,5.191732736,6.5268008448,2.0502843392,visdial:56454
dialog,visdial:56454,Static+Diverse 25%,0.25,10,0.2,315.30536470236257,323.26588899013586,342.66610618215054,19.738075090572238,19.598523998865858,20.31988734670449,335.0434397929348,342.846991494298,362.3859294486465,291.241984,2912.41984,14.717053464846686,50.42480395059101,53.43168929684907,0.23703703703703702,0.23703703703703702,0.2571759259259259,105.9,2160.0,2298.9,1.13246208,0.291241984,5.191732736,6.5266465791999995,2.0502843392,visdial:56454
